date,close_last_nvidia,close_last_sp500,close_last_apple,close_last_amd
2024-06-12,$125.20,5421.03,$213.07,$160.24
2024-06-11,$120.91,5375.32,$207.15,$158.96
2024-06-10,$121.79,5360.79,$193.12,$160.34
2024-06-07,$120.888,5346.99,$196.89,$167.87
2024-06-06,$120.998,5352.96,$194.48,$166.78
2024-06-05,$122.44,5354.03,$195.87,$166.17
2024-06-04,$116.437,5291.34,$194.35,$159.99
2024-06-03,$115.00,5283.40,$194.03,$163.55
2024-05-31,$109.633,5277.51,$192.25,$166.90
2024-05-30,$110.50,5235.48,$191.29,$166.75
2024-05-29,$114.825,5266.95,$190.29,$165.14
2024-05-28,$113.901,5306.04,$189.99,$171.61
2024-05-24,$106.469,5304.72,$189.98,$166.36
2024-05-23,$103.799,5267.84,$186.88,$160.43
2024-05-22,$94.95,5307.01,$190.90,$165.52
2024-05-21,$95.386,5321.41,$192.35,$164.66
2024-05-20,$94.78,5308.13,$191.04,$166.33
2024-05-17,$92.479,5303.27,$189.87,$164.47
2024-05-16,$94.359,5297.10,$189.84,$162.62
2024-05-15,$94.63,5308.15,$189.72,$159.67
2024-05-14,$91.356,5246.68,$187.43,$153.16
2024-05-13,$90.399,5221.42,$186.28,$150.56
2024-05-10,$89.878,5222.68,$183.05,$151.92
2024-05-09,$88.747,5214.08,$184.57,$152.39
2024-05-08,$90.412,5187.67,$182.74,$153.62
2024-05-07,$90.554,5187.70,$182.40,$154.43
2024-05-06,$92.14,5180.74,$181.71,$155.78
2024-05-03,$88.789,5127.79,$183.38,$150.60
2024-05-02,$85.817,5064.20,$173.03,$146.16
2024-05-01,$83.041,5018.39,$169.30,$144.27
2024-04-30,$86.402,5035.69,$170.33,$158.38
2024-04-29,$87.757,5116.17,$173.50,$160.20
2024-04-26,$87.735,5099.96,$169.30,$157.40
2024-04-25,$82.632,5048.42,$169.89,$153.76
2024-04-24,$79.677,5071.63,$169.02,$151.74
2024-04-23,$82.423,5070.55,$166.90,$152.27
2024-04-22,$79.518,5010.60,$165.84,$148.64
2024-04-19,$76.20,4967.23,$165.00,$146.64
2024-04-18,$84.671,5011.12,$167.04,$155.08
2024-04-17,$84.035,5022.21,$168.00,$154.02
2024-04-16,$87.415,5051.41,$169.38,$163.46
2024-04-15,$86.001,5061.82,$172.69,$160.32
2024-04-12,$88.186,5123.41,$176.55,$163.28
